Index,min,max,mean,std,count
10,0.303728,0.322136,0.3141592,0.006521345460729872,45
11,-0.29299,-0.274583,-0.2814343777777778,0.006602376549700916,45
12,-0.0352816,0.0,-0.018271428000000003,0.015241273310549282,45
13,0.0,0.0337476,0.01707832488888889,0.0148314559341263,45
14,-0.667282,-0.377359,-0.49530528888888886,0.09296409078084988,45
15,0.398835,0.687223,0.516747,0.0930251630471807,45
16,0.776194,1.11214,0.8554835333333333,0.11968291478956916,45
17,-1.07532,-0.739379,-0.8187711333333334,0.11965834303978672,45
18,0.325204,0.559903,0.44226371111111107,0.0758180290170371,45
19,-0.543029,-0.306796,-0.42388991111111113,0.07585198908574943,45
20,0.273049,0.291456,0.2834796222222222,0.006520889977912561,45
21,-0.29299,-0.274583,-0.2814343777777778,0.006602376549700916,45
22,-0.0981748,-0.0981748,-0.0981748,0.0,45
